quarter,level_1,level_2,value
2012-Q2,Overtime (Forecast For Next Quarter),Precision Engineering,-22
2012-Q2,Overtime (Forecast For Next Quarter),Transport Engineering,9
2012-Q2,Overtime (Forecast For Next Quarter),General Manufacturing Industries,7
2012-Q2,Output (Forecast For Next Quarter),Electronics,13
2012-Q2,Output (Forecast For Next Quarter),Chemicals,-3
2012-Q2,Output (Forecast For Next Quarter),Biomedical Manufacturing,4
2012-Q2,Output (Forecast For Next Quarter),Precision Engineering,-8
2012-Q2,Output (Forecast For Next Quarter),Transport Engineering,10
2012-Q2,Output (Forecast For Next Quarter),General Manufacturing Industries,12
2012-Q2,Total New Orders Received (Forecast For Next Quarter),Electronics,14
2012-Q2,Total New Orders Received (Forecast For Next Quarter),Chemicals,4
2012-Q2,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,27
2012-Q2,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,-18
2012-Q2,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,-5
2012-Q2,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,12
2012-Q2,Domestic Orders (Forecast For Next Quarter),Electronics,4
2012-Q2,Domestic Orders (Forecast For Next Quarter),Chemicals,-5
2012-Q2,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,5
2012-Q2,Domestic Orders (Forecast For Next Quarter),Precision Engineering,-18
2012-Q2,Domestic Orders (Forecast For Next Quarter),Transport Engineering,-6
2012-Q2,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,9
2012-Q2,Export Orders (Forecast For Next Quarter),Electronics,13
2012-Q2,Export Orders (Forecast For Next Quarter),Chemicals,5
2012-Q2,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,27
2012-Q2,Export Orders (Forecast For Next Quarter),Precision Engineering,-15
2012-Q2,Export Orders (Forecast For Next Quarter),Transport Engineering,-4
2012-Q2,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,-5
2012-Q2,Deliveries In Singapore (Forecast For Next Quarter),Electronics,10
2012-Q2,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,-5
2012-Q2,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,5
2012-Q2,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,-15
2012-Q2,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,3
2012-Q2,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,10
2012-Q2,Deliveries Overseas (Forecast For Next Quarter),Electronics,7
2012-Q2,Deliveries Overseas (Forecast For Next Quarter),Chemicals,-3
2012-Q2,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,32
2012-Q2,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,-10
2012-Q2,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,7
2012-Q2,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,-3
2012-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,2
2012-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,-19
2012-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,-5
2012-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,-16
2012-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,9
2012-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,0
2012-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,7
2012-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,-4
2012-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,9
2012-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,-19
2012-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,8
2012-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,-7
2012-Q2,Average Selling Prices (Forecast For Next Quarter),Electronics,-26
2012-Q2,Average Selling Prices (Forecast For Next Quarter),Chemicals,6
2012-Q2,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,7
2012-Q2,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,-16
2012-Q2,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,-5
2012-Q2,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,-10
2012-Q2,Investment On Buildings (Forecast - Next 12 Months),Electronics,-
2012-Q2,Investment On Buildings (Forecast - Next 12 Months),Chemicals,-
2012-Q2,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,-
2012-Q2,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,-
2012-Q2,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,-
2012-Q2,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,-
2012-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,-
2012-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,-
2012-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,-
2012-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,-
2012-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,-
2012-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,-
2012-Q3,General Business Expectations (Forecast For Next 6 Months),Electronics,-26
2012-Q3,General Business Expectations (Forecast For Next 6 Months),Chemicals,0
2012-Q3,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,3
2012-Q3,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,-22
2012-Q3,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,-4
2012-Q3,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,9
2012-Q3,Numbers Employed (Forecast For Next Quarter),Electronics,-9
2012-Q3,Numbers Employed (Forecast For Next Quarter),Chemicals,-3
2012-Q3,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,1
2012-Q3,Numbers Employed (Forecast For Next Quarter),Precision Engineering,-2
2012-Q3,Numbers Employed (Forecast For Next Quarter),Transport Engineering,8
2012-Q3,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,11
2012-Q3,Overtime (Forecast For Next Quarter),Electronics,-28
2012-Q3,Overtime (Forecast For Next Quarter),Chemicals,-9
2012-Q3,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,-18
2012-Q3,Overtime (Forecast For Next Quarter),Precision Engineering,-30
2012-Q3,Overtime (Forecast For Next Quarter),Transport Engineering,1
2012-Q3,Overtime (Forecast For Next Quarter),General Manufacturing Industries,7
2012-Q3,Output (Forecast For Next Quarter),Electronics,-26
2012-Q3,Output (Forecast For Next Quarter),Chemicals,-8
2012-Q3,Output (Forecast For Next Quarter),Biomedical Manufacturing,-6
2012-Q3,Output (Forecast For Next Quarter),Precision Engineering,-27
2012-Q3,Output (Forecast For Next Quarter),Transport Engineering,7
2012-Q3,Output (Forecast For Next Quarter),General Manufacturing Industries,14
2012-Q3,Total New Orders Received (Forecast For Next Quarter),Electronics,-25
2012-Q3,Total New Orders Received (Forecast For Next Quarter),Chemicals,-8
2012-Q3,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,-41
2012-Q3,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,-30
2012-Q3,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,-16
2012-Q3,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,14
2012-Q3,Domestic Orders (Forecast For Next Quarter),Electronics,-14
2012-Q3,Domestic Orders (Forecast For Next Quarter),Chemicals,-8
2012-Q3,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,-2
2012-Q3,Domestic Orders (Forecast For Next Quarter),Precision Engineering,-33
2012-Q3,Domestic Orders (Forecast For Next Quarter),Transport Engineering,-7
2012-Q3,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,13
2012-Q3,Export Orders (Forecast For Next Quarter),Electronics,-25
2012-Q3,Export Orders (Forecast For Next Quarter),Chemicals,-13
2012-Q3,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,-41
2012-Q3,Export Orders (Forecast For Next Quarter),Precision Engineering,-29
2012-Q3,Export Orders (Forecast For Next Quarter),Transport Engineering,-3
2012-Q3,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,-1
2012-Q3,Deliveries In Singapore (Forecast For Next Quarter),Electronics,-7
2012-Q3,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,-7
2012-Q3,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,0
2012-Q3,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,-33
2012-Q3,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,8
2012-Q3,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,11
2012-Q3,Deliveries Overseas (Forecast For Next Quarter),Electronics,-25
2012-Q3,Deliveries Overseas (Forecast For Next Quarter),Chemicals,-13
2012-Q3,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,-23
2012-Q3,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,-30
2012-Q3,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,6
2012-Q3,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,0
2012-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,-11
2012-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,0
2012-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,-51
2012-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,-24
2012-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,1
2012-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,6
2012-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,-17
2012-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,0
2012-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,-13
2012-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,-22
2012-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,-7
2012-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,2
2012-Q3,Average Selling Prices (Forecast For Next Quarter),Electronics,-32
2012-Q3,Average Selling Prices (Forecast For Next Quarter),Chemicals,2
2012-Q3,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,6
2012-Q3,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,-17
2012-Q3,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,-5
2012-Q3,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,-5
2012-Q3,Investment On Buildings (Forecast - Next 12 Months),Electronics,-
2012-Q3,Investment On Buildings (Forecast - Next 12 Months),Chemicals,-
2012-Q3,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,-
2012-Q3,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,-
2012-Q3,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,-
2012-Q3,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,-
2012-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,-
2012-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,-
2012-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,-
2012-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,-
2012-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,-
2012-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,-
2012-Q4,General Business Expectations (Forecast For Next 6 Months),Electronics,-28
2012-Q4,General Business Expectations (Forecast For Next 6 Months),Chemicals,-8
2012-Q4,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,7
2012-Q4,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,-9
2012-Q4,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,0
2012-Q4,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,1
2012-Q4,Numbers Employed (Forecast For Next Quarter),Electronics,-6
2012-Q4,Numbers Employed (Forecast For Next Quarter),Chemicals,7
2012-Q4,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,2
2012-Q4,Numbers Employed (Forecast For Next Quarter),Precision Engineering,-7
2012-Q4,Numbers Employed (Forecast For Next Quarter),Transport Engineering,14
2012-Q4,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,9
2012-Q4,Overtime (Forecast For Next Quarter),Electronics,-35
2012-Q4,Overtime (Forecast For Next Quarter),Chemicals,1
2012-Q4,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,3
2012-Q4,Overtime (Forecast For Next Quarter),Precision Engineering,-25
2012-Q4,Overtime (Forecast For Next Quarter),Transport Engineering,6
2012-Q4,Overtime (Forecast For Next Quarter),General Manufacturing Industries,-1
2012-Q4,Output (Forecast For Next Quarter),Electronics,-45
2012-Q4,Output (Forecast For Next Quarter),Chemicals,-4
2012-Q4,Output (Forecast For Next Quarter),Biomedical Manufacturing,8
2012-Q4,Output (Forecast For Next Quarter),Precision Engineering,-3
2012-Q4,Output (Forecast For Next Quarter),Transport Engineering,13
2012-Q4,Output (Forecast For Next Quarter),General Manufacturing Industries,2
2012-Q4,Total New Orders Received (Forecast For Next Quarter),Electronics,-43
2012-Q4,Total New Orders Received (Forecast For Next Quarter),Chemicals,4
2012-Q4,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,21
2012-Q4,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,0
2012-Q4,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,1
2012-Q4,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,0
2012-Q4,Domestic Orders (Forecast For Next Quarter),Electronics,-13
2012-Q4,Domestic Orders (Forecast For Next Quarter),Chemicals,2
2012-Q4,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,-1
2012-Q4,Domestic Orders (Forecast For Next Quarter),Precision Engineering,-8
2012-Q4,Domestic Orders (Forecast For Next Quarter),Transport Engineering,-2
2012-Q4,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,1
2012-Q4,Export Orders (Forecast For Next Quarter),Electronics,-43
2012-Q4,Export Orders (Forecast For Next Quarter),Chemicals,6
2012-Q4,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,22
2012-Q4,Export Orders (Forecast For Next Quarter),Precision Engineering,-1
2012-Q4,Export Orders (Forecast For Next Quarter),Transport Engineering,-2
2012-Q4,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,-13
2012-Q4,Deliveries In Singapore (Forecast For Next Quarter),Electronics,-13
2012-Q4,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,0
2012-Q4,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,2
2012-Q4,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,-8
2012-Q4,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,-3
2012-Q4,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,3
2012-Q4,Deliveries Overseas (Forecast For Next Quarter),Electronics,-44
