quarter,level_1,value
1986-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),12
1986-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),3
1986-Q2,Average Selling Prices (Forecast For Next Quarter),-12
1986-Q2,Investment On Buildings (Forecast - Next 12 Months),5
1986-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),7
1986-Q3,General Business Expectations (Forecast For Next 6 Months),17
1986-Q3,Numbers Employed (Forecast For Next Quarter),11
1986-Q3,Overtime (Forecast For Next Quarter),-4
1986-Q3,Output (Forecast For Next Quarter),11
1986-Q3,Total New Orders Received (Forecast For Next Quarter),11
1986-Q3,Domestic Orders (Forecast For Next Quarter),-3
1986-Q3,Export Orders (Forecast For Next Quarter),14
1986-Q3,Deliveries In Singapore (Forecast For Next Quarter),-1
1986-Q3,Deliveries Overseas (Forecast For Next Quarter),17
1986-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-5
1986-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-10
1986-Q3,Average Selling Prices (Forecast For Next Quarter),-3
1986-Q3,Investment On Buildings (Forecast - Next 12 Months),8
1986-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),9
1986-Q4,General Business Expectations (Forecast For Next 6 Months),13
1986-Q4,Numbers Employed (Forecast For Next Quarter),6
1986-Q4,Overtime (Forecast For Next Quarter),-11
1986-Q4,Output (Forecast For Next Quarter),-2
1986-Q4,Total New Orders Received (Forecast For Next Quarter),-3
1986-Q4,Domestic Orders (Forecast For Next Quarter),2
1986-Q4,Export Orders (Forecast For Next Quarter),-3
1986-Q4,Deliveries In Singapore (Forecast For Next Quarter),-1
1986-Q4,Deliveries Overseas (Forecast For Next Quarter),-1
1986-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-9
1986-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-13
1986-Q4,Average Selling Prices (Forecast For Next Quarter),-13
1986-Q4,Investment On Buildings (Forecast - Next 12 Months),8
1986-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),15
1987-Q1,General Business Expectations (Forecast For Next 6 Months),31
1987-Q1,Numbers Employed (Forecast For Next Quarter),27
1987-Q1,Overtime (Forecast For Next Quarter),4
1987-Q1,Output (Forecast For Next Quarter),43
1987-Q1,Total New Orders Received (Forecast For Next Quarter),39
1987-Q1,Domestic Orders (Forecast For Next Quarter),8
1987-Q1,Export Orders (Forecast For Next Quarter),40
1987-Q1,Deliveries In Singapore (Forecast For Next Quarter),0
1987-Q1,Deliveries Overseas (Forecast For Next Quarter),40
1987-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),2
1987-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-5
1987-Q1,Average Selling Prices (Forecast For Next Quarter),2
1987-Q1,Investment On Buildings (Forecast - Next 12 Months),10
1987-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),23
1987-Q2,General Business Expectations (Forecast For Next 6 Months),45
1987-Q2,Numbers Employed (Forecast For Next Quarter),37
1987-Q2,Overtime (Forecast For Next Quarter),6
1987-Q2,Output (Forecast For Next Quarter),39
1987-Q2,Total New Orders Received (Forecast For Next Quarter),30
1987-Q2,Domestic Orders (Forecast For Next Quarter),6
1987-Q2,Export Orders (Forecast For Next Quarter),30
1987-Q2,Deliveries In Singapore (Forecast For Next Quarter),12
1987-Q2,Deliveries Overseas (Forecast For Next Quarter),41
1987-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),6
1987-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-4
1987-Q2,Average Selling Prices (Forecast For Next Quarter),5
1987-Q2,Investment On Buildings (Forecast - Next 12 Months),11
1987-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),21
1987-Q3,General Business Expectations (Forecast For Next 6 Months),31
1987-Q3,Numbers Employed (Forecast For Next Quarter),26
1987-Q3,Overtime (Forecast For Next Quarter),16
1987-Q3,Output (Forecast For Next Quarter),19
1987-Q3,Total New Orders Received (Forecast For Next Quarter),11
1987-Q3,Domestic Orders (Forecast For Next Quarter),-6
1987-Q3,Export Orders (Forecast For Next Quarter),14
1987-Q3,Deliveries In Singapore (Forecast For Next Quarter),2
1987-Q3,Deliveries Overseas (Forecast For Next Quarter),15
1987-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-2
1987-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-3
1987-Q3,Average Selling Prices (Forecast For Next Quarter),0
1987-Q3,Investment On Buildings (Forecast - Next 12 Months),10
1987-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),20
1987-Q4,General Business Expectations (Forecast For Next 6 Months),15
1987-Q4,Numbers Employed (Forecast For Next Quarter),28
1987-Q4,Overtime (Forecast For Next Quarter),-8
1987-Q4,Output (Forecast For Next Quarter),0
1987-Q4,Total New Orders Received (Forecast For Next Quarter),-5
1987-Q4,Domestic Orders (Forecast For Next Quarter),-5
1987-Q4,Export Orders (Forecast For Next Quarter),2
1987-Q4,Deliveries In Singapore (Forecast For Next Quarter),-7
1987-Q4,Deliveries Overseas (Forecast For Next Quarter),6
1987-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-6
1987-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-9
1987-Q4,Average Selling Prices (Forecast For Next Quarter),6
1987-Q4,Investment On Buildings (Forecast - Next 12 Months),13
1987-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),19
1988-Q1,General Business Expectations (Forecast For Next 6 Months),32
1988-Q1,Numbers Employed (Forecast For Next Quarter),36
1988-Q1,Overtime (Forecast For Next Quarter),21
1988-Q1,Output (Forecast For Next Quarter),37
1988-Q1,Total New Orders Received (Forecast For Next Quarter),19
1988-Q1,Domestic Orders (Forecast For Next Quarter),2
1988-Q1,Export Orders (Forecast For Next Quarter),17
1988-Q1,Deliveries In Singapore (Forecast For Next Quarter),1
1988-Q1,Deliveries Overseas (Forecast For Next Quarter),33
1988-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),13
1988-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),1
1988-Q1,Average Selling Prices (Forecast For Next Quarter),5
1988-Q1,Investment On Buildings (Forecast - Next 12 Months),10
1988-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),34
1988-Q2,General Business Expectations (Forecast For Next 6 Months),38
1988-Q2,Numbers Employed (Forecast For Next Quarter),39
1988-Q2,Overtime (Forecast For Next Quarter),17
1988-Q2,Output (Forecast For Next Quarter),32
1988-Q2,Total New Orders Received (Forecast For Next Quarter),24
1988-Q2,Domestic Orders (Forecast For Next Quarter),15
1988-Q2,Export Orders (Forecast For Next Quarter),21
1988-Q2,Deliveries In Singapore (Forecast For Next Quarter),12
1988-Q2,Deliveries Overseas (Forecast For Next Quarter),30
1988-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),9
1988-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),1
1988-Q2,Average Selling Prices (Forecast For Next Quarter),3
1988-Q2,Investment On Buildings (Forecast - Next 12 Months),14
1988-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),34
1988-Q3,General Business Expectations (Forecast For Next 6 Months),18
1988-Q3,Numbers Employed (Forecast For Next Quarter),13
1988-Q3,Overtime (Forecast For Next Quarter),-7
1988-Q3,Output (Forecast For Next Quarter),16
1988-Q3,Total New Orders Received (Forecast For Next Quarter),10
1988-Q3,Domestic Orders (Forecast For Next Quarter),4
1988-Q3,Export Orders (Forecast For Next Quarter),10
1988-Q3,Deliveries In Singapore (Forecast For Next Quarter),4
1988-Q3,Deliveries Overseas (Forecast For Next Quarter),11
1988-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-4
1988-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-8
1988-Q3,Average Selling Prices (Forecast For Next Quarter),-4
1988-Q3,Investment On Buildings (Forecast - Next 12 Months),15
1988-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),32
1988-Q4,General Business Expectations (Forecast For Next 6 Months),10
1988-Q4,Numbers Employed (Forecast For Next Quarter),4
1988-Q4,Overtime (Forecast For Next Quarter),-15
1988-Q4,Output (Forecast For Next Quarter),-9
1988-Q4,Total New Orders Received (Forecast For Next Quarter),-3
1988-Q4,Domestic Orders (Forecast For Next Quarter),-4
1988-Q4,Export Orders (Forecast For Next Quarter),-1
1988-Q4,Deliveries In Singapore (Forecast For Next Quarter),-4
1988-Q4,Deliveries Overseas (Forecast For Next Quarter),-8
1988-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-6
1988-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-8
1988-Q4,Average Selling Prices (Forecast For Next Quarter),4
1988-Q4,Investment On Buildings (Forecast - Next 12 Months),13
1988-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),20
1989-Q1,General Business Expectations (Forecast For Next 6 Months),31
1989-Q1,Numbers Employed (Forecast For Next Quarter),20
1989-Q1,Overtime (Forecast For Next Quarter),15
1989-Q1,Output (Forecast For Next Quarter),34
1989-Q1,Total New Orders Received (Forecast For Next Quarter),26
1989-Q1,Domestic Orders (Forecast For Next Quarter),11
1989-Q1,Export Orders (Forecast For Next Quarter),26
1989-Q1,Deliveries In Singapore (Forecast For Next Quarter),15
1989-Q1,Deliveries Overseas (Forecast For Next Quarter),27
1989-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),0
1989-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),9
1989-Q1,Average Selling Prices (Forecast For Next Quarter),-2
1989-Q1,Investment On Buildings (Forecast - Next 12 Months),12
1989-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),19
1989-Q2,General Business Expectations (Forecast For Next 6 Months),23
1989-Q2,Numbers Employed (Forecast For Next Quarter),18
1989-Q2,Overtime (Forecast For Next Quarter),11
1989-Q2,Output (Forecast For Next Quarter),26
1989-Q2,Total New Orders Received (Forecast For Next Quarter),15
1989-Q2,Domestic Orders (Forecast For Next Quarter),-1
1989-Q2,Export Orders (Forecast For Next Quarter),20
1989-Q2,Deliveries In Singapore (Forecast For Next Quarter),7
1989-Q2,Deliveries Overseas (Forecast For Next Quarter),19
1989-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-2
1989-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-4
1989-Q2,Average Selling Prices (Forecast For Next Quarter),-6
1989-Q2,Investment On Buildings (Forecast - Next 12 Months),4
1989-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),15
1989-Q3,General Business Expectations (Forecast For Next 6 Months),12
1989-Q3,Numbers Employed (Forecast For Next Quarter),5
1989-Q3,Overtime (Forecast For Next Quarter),-12
1989-Q3,Output (Forecast For Next Quarter),11
1989-Q3,Total New Orders Received (Forecast For Next Quarter),6
1989-Q3,Domestic Orders (Forecast For Next Quarter),-2
1989-Q3,Export Orders (Forecast For Next Quarter),2
1989-Q3,Deliveries In Singapore (Forecast For Next Quarter),3
1989-Q3,Deliveries Overseas (Forecast For Next Quarter),3
1989-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-2
1989-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-6
1989-Q3,Average Selling Prices (Forecast For Next Quarter),-1
1989-Q3,Investment On Buildings (Forecast - Next 12 Months),1
1989-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),20
1989-Q4,General Business Expectations (Forecast For Next 6 Months),15
1989-Q4,Numbers Employed (Forecast For Next Quarter),8
1989-Q4,Overtime (Forecast For Next Quarter),-24
1989-Q4,Output (Forecast For Next Quarter),-4
1989-Q4,Total New Orders Received (Forecast For Next Quarter),4
1989-Q4,Domestic Orders (Forecast For Next Quarter),4
1989-Q4,Export Orders (Forecast For Next Quarter),3
1989-Q4,Deliveries In Singapore (Forecast For Next Quarter),-2
1989-Q4,Deliveries Overseas (Forecast For Next Quarter),-1
1989-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-12
1989-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-16
1989-Q4,Average Selling Prices (Forecast For Next Quarter),-8
1989-Q4,Investment On Buildings (Forecast - Next 12 Months),4
1989-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),8
1990-Q1,General Business Expectations (Forecast For Next 6 Months),27
1990-Q1,Numbers Employed (Forecast For Next Quarter),22
1990-Q1,Overtime (Forecast For Next Quarter),16
1990-Q1,Output (Forecast For Next Quarter),40
1990-Q1,Total New Orders Received (Forecast For Next Quarter),33
1990-Q1,Domestic Orders (Forecast For Next Quarter),9
1990-Q1,Export Orders (Forecast For Next Quarter),30
1990-Q1,Deliveries In Singapore (Forecast For Next Quarter),12
1990-Q1,Deliveries Overseas (Forecast For Next Quarter),34
1990-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),10
1990-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),2
1990-Q1,Average Selling Prices (Forecast For Next Quarter),-17
1990-Q1,Investment On Buildings (Forecast - Next 12 Months),0
1990-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),11
1990-Q2,General Business Expectations (Forecast For Next 6 Months),25
1990-Q2,Numbers Employed (Forecast For Next Quarter),25
1990-Q2,Overtime (Forecast For Next Quarter),13
1990-Q2,Output (Forecast For Next Quarter),34
1990-Q2,Total New Orders Received (Forecast For Next Quarter),33
1990-Q2,Domestic Orders (Forecast For Next Quarter),14
1990-Q2,Export Orders (Forecast For Next Quarter),30
1990-Q2,Deliveries In Singapore (Forecast For Next Quarter),19
1990-Q2,Deliveries Overseas (Forecast For Next Quarter),28
1990-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),2
1990-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-2
1990-Q2,Average Selling Prices (Forecast For Next Quarter),-7
1990-Q2,Investment On Buildings (Forecast - Next 12 Months),5
1990-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),8
1990-Q3,General Business Expectations (Forecast For Next 6 Months),4
1990-Q3,Numbers Employed (Forecast For Next Quarter),11
1990-Q3,Overtime (Forecast For Next Quarter),7
1990-Q3,Output (Forecast For Next Quarter),11
1990-Q3,Total New Orders Received (Forecast For Next Quarter),3
1990-Q3,Domestic Orders (Forecast For Next Quarter),-2
1990-Q3,Export Orders (Forecast For Next Quarter),5
1990-Q3,Deliveries In Singapore (Forecast For Next Quarter),1
1990-Q3,Deliveries Overseas (Forecast For Next Quarter),8
1990-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-9
1990-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-8
1990-Q3,Average Selling Prices (Forecast For Next Quarter),-5
1990-Q3,Investment On Buildings (Forecast - Next 12 Months),5
1990-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),8
1990-Q4,General Business Expectations (Forecast For Next 6 Months),-10
1990-Q4,Numbers Employed (Forecast For Next Quarter),1
1990-Q4,Overtime (Forecast For Next Quarter),-14
1990-Q4,Output (Forecast For Next Quarter),-18
1990-Q4,Total New Orders Received (Forecast For Next Quarter),2
1990-Q4,Domestic Orders (Forecast For Next Quarter),-5
1990-Q4,Export Orders (Forecast For Next Quarter),1
1990-Q4,Deliveries In Singapore (Forecast For Next Quarter),-1
1990-Q4,Deliveries Overseas (Forecast For Next Quarter),-14
1990-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-2
1990-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-10
1990-Q4,Average Selling Prices (Forecast For Next Quarter),-11
1990-Q4,Investment On Buildings (Forecast - Next 12 Months),0
1990-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),7
1991-Q1,General Business Expectations (Forecast For Next 6 Months),29
1991-Q1,Numbers Employed (Forecast For Next Quarter),16
1991-Q1,Overtime (Forecast For Next Quarter),14
1991-Q1,Output (Forecast For Next Quarter),32
1991-Q1,Total New Orders Received (Forecast For Next Quarter),33
1991-Q1,Domestic Orders (Forecast For Next Quarter),11
1991-Q1,Export Orders (Forecast For Next Quarter),33
1991-Q1,Deliveries In Singapore (Forecast For Next Quarter),10
1991-Q1,Deliveries Overseas (Forecast For Next Quarter),32
1991-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),6
1991-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),0
1991-Q1,Average Selling Prices (Forecast For Next Quarter),-10
1991-Q1,Investment On Buildings (Forecast - Next 12 Months),12
1991-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),16
1991-Q2,General Business Expectations (Forecast For Next 6 Months),23
1991-Q2,Numbers Employed (Forecast For Next Quarter),15
1991-Q2,Overtime (Forecast For Next Quarter),1
1991-Q2,Output (Forecast For Next Quarter),27
1991-Q2,Total New Orders Received (Forecast For Next Quarter),24
1991-Q2,Domestic Orders (Forecast For Next Quarter),9
1991-Q2,Export Orders (Forecast For Next Quarter),21
1991-Q2,Deliveries In Singapore (Forecast For Next Quarter),7
1991-Q2,Deliveries Overseas (Forecast For Next Quarter),20
1991-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-1
1991-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-8
1991-Q2,Average Selling Prices (Forecast For Next Quarter),-12
1991-Q2,Investment On Buildings (Forecast - Next 12 Months),0
1991-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),2
1991-Q3,General Business Expectations (Forecast For Next 6 Months),3
1991-Q3,Numbers Employed (Forecast For Next Quarter),3
1991-Q3,Overtime (Forecast For Next Quarter),-5
1991-Q3,Output (Forecast For Next Quarter),7
1991-Q3,Total New Orders Received (Forecast For Next Quarter),-2
1991-Q3,Domestic Orders (Forecast For Next Quarter),0
1991-Q3,Export Orders (Forecast For Next Quarter),-4
1991-Q3,Deliveries In Singapore (Forecast For Next Quarter),-1
1991-Q3,Deliveries Overseas (Forecast For Next Quarter),7
1991-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-4
1991-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-8
1991-Q3,Average Selling Prices (Forecast For Next Quarter),-10
1991-Q3,Investment On Buildings (Forecast - Next 12 Months),-1
1991-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),7
1991-Q4,General Business Expectations (Forecast For Next 6 Months),0
1991-Q4,Numbers Employed (Forecast For Next Quarter),0
1991-Q4,Overtime (Forecast For Next Quarter),-15
1991-Q4,Output (Forecast For Next Quarter),-14
1991-Q4,Total New Orders Received (Forecast For Next Quarter),6
1991-Q4,Domestic Orders (Forecast For Next Quarter),-8
1991-Q4,Export Orders (Forecast For Next Quarter),6
1991-Q4,Deliveries In Singapore (Forecast For Next Quarter),-7
1991-Q4,Deliveries Overseas (Forecast For Next Quarter),-9
1991-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-10
1991-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-6
1991-Q4,Average Selling Prices (Forecast For Next Quarter),-13
1991-Q4,Investment On Buildings (Forecast - Next 12 Months),4
1991-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),0
1992-Q1,General Business Expectations (Forecast For Next 6 Months),20
1992-Q1,Numbers Employed (Forecast For Next Quarter),17
1992-Q1,Overtime (Forecast For Next Quarter),7
1992-Q1,Output (Forecast For Next Quarter),38
1992-Q1,Total New Orders Received (Forecast For Next Quarter),27
1992-Q1,Domestic Orders (Forecast For Next Quarter),14
1992-Q1,Export Orders (Forecast For Next Quarter),24
1992-Q1,Deliveries In Singapore (Forecast For Next Quarter),16
1992-Q1,Deliveries Overseas (Forecast For Next Quarter),31
1992-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-2
1992-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-4
1992-Q1,Average Selling Prices (Forecast For Next Quarter),-10
1992-Q1,Investment On Buildings (Forecast - Next 12 Months),10
1992-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),2
1992-Q2,General Business Expectations (Forecast For Next 6 Months),24
1992-Q2,Numbers Employed (Forecast For Next Quarter),16
1992-Q2,Overtime (Forecast For Next Quarter),1
1992-Q2,Output (Forecast For Next Quarter),29
1992-Q2,Total New Orders Received (Forecast For Next Quarter),29
1992-Q2,Domestic Orders (Forecast For Next Quarter),13
1992-Q2,Export Orders (Forecast For Next Quarter),28
1992-Q2,Deliveries In Singapore (Forecast For Next Quarter),7
1992-Q2,Deliveries Overseas (Forecast For Next Quarter),27
1992-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),6
1992-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),0
1992-Q2,Average Selling Prices (Forecast For Next Quarter),-9
1992-Q2,Investment On Buildings (Forecast - Next 12 Months),13
1992-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),13
1992-Q3,General Business Expectations (Forecast For Next 6 Months),6
1992-Q3,Numbers Employed (Forecast For Next Quarter),11
1992-Q3,Overtime (Forecast For Next Quarter),-13
1992-Q3,Output (Forecast For Next Quarter),17
1992-Q3,Total New Orders Received (Forecast For Next Quarter),10
1992-Q3,Domestic Orders (Forecast For Next Quarter),-4
1992-Q3,Export Orders (Forecast For Next Quarter),9
1992-Q3,Deliveries In Singapore (Forecast For Next Quarter),1
1992-Q3,Deliveries Overseas (Forecast For Next Quarter),14
1992-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-10
1992-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-13
1992-Q3,Average Selling Prices (Forecast For Next Quarter),-12
1992-Q3,Investment On Buildings (Forecast - Next 12 Months),8
1992-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),12
1992-Q4,General Business Expectations (Forecast For Next 6 Months),9
1992-Q4,Numbers Employed (Forecast For Next Quarter),3
1992-Q4,Overtime (Forecast For Next Quarter),-11
1992-Q4,Output (Forecast For Next Quarter),-1
1992-Q4,Total New Orders Received (Forecast For Next Quarter),9
1992-Q4,Domestic Orders (Forecast For Next Quarter),2
1992-Q4,Export Orders (Forecast For Next Quarter),12
1992-Q4,Deliveries In Singapore (Forecast For Next Quarter),-11
1992-Q4,Deliveries Overseas (Forecast For Next Quarter),5
1992-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-11
1992-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-11
1992-Q4,Average Selling Prices (Forecast For Next Quarter),-17
1992-Q4,Investment On Buildings (Forecast - Next 12 Months),11
1992-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),12
1993-Q1,General Business Expectations (Forecast For Next 6 Months),20
1993-Q1,Numbers Employed (Forecast For Next Quarter),14
1993-Q1,Overtime (Forecast For Next Quarter),6
1993-Q1,Output (Forecast For Next Quarter),37
1993-Q1,Total New Orders Received (Forecast For Next Quarter),36
1993-Q1,Domestic Orders (Forecast For Next Quarter),17
1993-Q1,Export Orders (Forecast For Next Quarter),35
1993-Q1,Deliveries In Singapore (Forecast For Next Quarter),21
1993-Q1,Deliveries Overseas (Forecast For Next Quarter),35
1993-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),2
1993-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),11
1993-Q1,Average Selling Prices (Forecast For Next Quarter),-13
1993-Q1,Investment On Buildings (Forecast - Next 12 Months),15
1993-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),13
1993-Q2,General Business Expectations (Forecast For Next 6 Months),18
1993-Q2,Numbers Employed (Forecast For Next Quarter),9
1993-Q2,Overtime (Forecast For Next Quarter),5
1993-Q2,Output (Forecast For Next Quarter),31
1993-Q2,Total New Orders Received (Forecast For Next Quarter),25
1993-Q2,Domestic Orders (Forecast For Next Quarter),1
1993-Q2,Export Orders (Forecast For Next Quarter),22
1993-Q2,Deliveries In Singapore (Forecast For Next Quarter),7
1993-Q2,Deliveries Overseas (Forecast For Next Quarter),22
1993-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),3
1993-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-5
1993-Q2,Average Selling Prices (Forecast For Next Quarter),-13
1993-Q2,Investment On Buildings (Forecast - Next 12 Months),10
1993-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),6
1993-Q3,General Business Expectations (Forecast For Next 6 Months),5
1993-Q3,Numbers Employed (Forecast For Next Quarter),7
1993-Q3,Overtime (Forecast For Next Quarter),-6
1993-Q3,Output (Forecast For Next Quarter),9
1993-Q3,Total New Orders Received (Forecast For Next Quarter),9
1993-Q3,Domestic Orders (Forecast For Next Quarter),1
1993-Q3,Export Orders (Forecast For Next Quarter),5
1993-Q3,Deliveries In Singapore (Forecast For Next Quarter),5
1993-Q3,Deliveries Overseas (Forecast For Next Quarter),7
1993-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-12
1993-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-20
1993-Q3,Average Selling Prices (Forecast For Next Quarter),-20
1993-Q3,Investment On Buildings (Forecast - Next 12 Months),8
1993-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),6
1993-Q4,General Business Expectations (Forecast For Next 6 Months),20
1993-Q4,Numbers Employed (Forecast For Next Quarter),5
1993-Q4,Overtime (Forecast For Next Quarter),-15
1993-Q4,Output (Forecast For Next Quarter),14
1993-Q4,Total New Orders Received (Forecast For Next Quarter),10
1993-Q4,Domestic Orders (Forecast For Next Quarter),5
1993-Q4,Export Orders (Forecast For Next Quarter),11
1993-Q4,Deliveries In Singapore (Forecast For Next Quarter),-4
1993-Q4,Deliveries Overseas (Forecast For Next Quarter),10
1993-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-6
1993-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-4
1993-Q4,Average Selling Prices (Forecast For Next Quarter),-14
1993-Q4,Investment On Buildings (Forecast - Next 12 Months),7
1993-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),3
1994-Q1,General Business Expectations (Forecast For Next 6 Months),33
1994-Q1,Numbers Employed (Forecast For Next Quarter),8
1994-Q1,Overtime (Forecast For Next Quarter),18
1994-Q1,Output (Forecast For Next Quarter),35
1994-Q1,Total New Orders Received (Forecast For Next Quarter),38
1994-Q1,Domestic Orders (Forecast For Next Quarter),17
1994-Q1,Export Orders (Forecast For Next Quarter),44
1994-Q1,Deliveries In Singapore (Forecast For Next Quarter),19
1994-Q1,Deliveries Overseas (Forecast For Next Quarter),40
1994-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),14
1994-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),1
1994-Q1,Average Selling Prices (Forecast For Next Quarter),-11
1994-Q1,Investment On Buildings (Forecast - Next 12 Months),14
1994-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),19
1994-Q2,General Business Expectations (Forecast For Next 6 Months),28
1994-Q2,Numbers Employed (Forecast For Next Quarter),15
1994-Q2,Overtime (Forecast For Next Quarter),9
1994-Q2,Output (Forecast For Next Quarter),33
1994-Q2,Total New Orders Received (Forecast For Next Quarter),29
1994-Q2,Domestic Orders (Forecast For Next Quarter),15
1994-Q2,Export Orders (Forecast For Next Quarter),28
1994-Q2,Deliveries In Singapore (Forecast For Next Quarter),18
1994-Q2,Deliveries Overseas (Forecast For Next Quarter),26
1994-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-1
1994-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),2
1994-Q2,Average Selling Prices (Forecast For Next Quarter),-18
1994-Q2,Investment On Buildings (Forecast - Next 12 Months),13
1994-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),18
1994-Q3,General Business Expectations (Forecast For Next 6 Months),15
1994-Q3,Numbers Employed (Forecast For Next Quarter),6
1994-Q3,Overtime (Forecast For Next Quarter),4
1994-Q3,Output (Forecast For Next Quarter),13
1994-Q3,Total New Orders Received (Forecast For Next Quarter),14
1994-Q3,Domestic Orders (Forecast For Next Quarter),7
1994-Q3,Export Orders (Forecast For Next Quarter),9
1994-Q3,Deliveries In Singapore (Forecast For Next Quarter),7
